interest_rate,fico_range,amount_requested,amount_funded_by_investors,loan_length
12.12,690-694,6000.0,6000.0,36.0
13.49,700-704,2200.0,2200.0,36.0
14.27,670-674,5000.0,5000.0,36.0
19.69,665-669,12000.0,12000.0,60.0
7.9,705-709,3000.0,3000.0,36.0
21.49,700-704,30000.0,30000.0,60.0
12.12,695-699,10800.0,10800.0,36.0
18.25,660-664,10500.0,10500.0,36.0
6.62,755-759,10000.0,10000.0,36.0
12.12,715-719,24000.0,23950.0,36.0
14.09,690-694,16000.0,16000.0,36.0
13.99,705-709,15000.0,15000.0,36.0
21.98,660-664,9500.0,9500.0,36.0
19.05,690-694,35000.0,35000.0,36.0
7.9,725-729,5000.0,5000.0,36.0
11.71,700-704,15000.0,15000.0,36.0
15.31,675-679,5000.0,5000.0,36.0
11.14,775-779,19000.0,18975.0,36.0
15.8,680-684,11625.0,11625.0,36.0
7.62,750-754,25000.0,25000.0,36.0
12.69,685-689,8000.0,8000.0,36.0
8.59,760-764,9800.0,9675.0,36.0
8.0,765-769,6000.0,5975.0,36.0
12.42,705-709,10200.0,10200.0,36.0
6.62,760-764,10500.0,10500.0,36.0
7.9,725-729,5000.0,5000.0,36.0
7.9,810-814,17500.0,17500.0,36.0
19.03,685-689,4000.0,4000.0,36.0
12.12,715-719,22000.0,22000.0,36.0
5.79,750-754,5000.0,4900.0,36.0
16.29,685-689,8000.0,8000.0,36.0
18.49,700-704,19125.0,19125.0,60.0
12.12,700-704,16000.0,16000.0,36.0
14.59,660-664,4500.0,4500.0,36.0
22.45,665-669,5800.0,5800.0,60.0
14.7,645-649,10000.0,525.0,36.0
18.75,680-684,16750.0,16750.0,36.0
12.12,695-699,3600.0,3600.0,36.0
15.62,670-674,10000.0,10000.0,36.0
5.42,800-804,6000.0,6000.0,36.0
7.62,735-739,10000.0,10000.0,36.0
17.77,685-689,10000.0,10000.0,36.0
7.49,745-749,5000.0,5000.0,36.0
23.76,665-669,35000.0,34950.0,60.0
7.9,715-719,7000.0,7000.0,36.0
10.2,800-804,3000.0,1647.62,36.0
15.62,695-699,28000.0,28000.0,36.0
15.58,690-694,15200.0,6800.0,60.0
14.65,710-714,15775.0,15775.0,36.0
10.59,765-769,30000.0,22425.0,36.0
9.91,710-714,3000.0,3000.0,36.0
18.49,670-674,15350.0,15350.0,36.0
9.76,785-789,26500.0,26500.0,60.0
6.0,695-699,6400.0,6400.0,60.0
14.33,695-699,13200.0,13200.0,36.0
11.49,705-709,12000.0,12000.0,36.0
6.03,800-804,4000.0,4000.0,36.0
6.62,730-734,2500.0,2500.0,36.0
18.55,700-704,28000.0,27925.0,36.0
8.9,730-734,9000.0,8975.0,36.0
6.03,750-754,6600.0,6600.0,36.0
17.27,705-709,27050.0,27050.0,60.0
15.99,675-679,4800.0,4800.0,36.0
10.16,710-714,7550.0,7550.0,36.0
7.74,775-779,10000.0,10000.0,36.0
11.26,730-734,12500.0,12275.0,36.0
19.05,660-664,27575.0,27575.0,36.0
13.11,720-724,20000.0,20000.0,36.0
14.61,730-734,15000.0,14900.0,36.0
8.9,730-734,18000.0,18000.0,36.0
8.9,785-789,5400.0,5375.0,36.0
15.81,695-699,23000.0,22950.0,36.0
5.79,770-774,8000.0,7950.0,36.0
12.69,705-709,3000.0,2950.0,36.0
6.92,780-784,7200.0,7200.0,36.0
15.8,670-674,15350.0,15350.0,36.0
12.12,685-689,6000.0,6000.0,36.0
13.16,755-759,15000.0,8081.65,36.0
12.68,690-694,5000.0,5000.0,60.0
6.76,760-764,2575.0,2575.0,36.0
13.67,670-674,1800.0,1800.0,36.0
14.09,700-704,10000.0,10000.0,36.0
10.74,705-709,7750.0,7750.0,36.0
16.29,660-664,12000.0,12000.0,36.0
6.03,780-784,10000.0,10000.0,36.0
13.67,665-669,4950.0,4950.0,36.0
6.03,760-764,8400.0,8350.0,36.0
12.12,695-699,3500.0,3500.0,36.0
16.29,665-669,12000.0,12000.0,36.0
22.47,660-664,18000.0,18000.0,60.0
12.99,725-729,14675.0,14650.0,60.0
14.09,675-679,13000.0,13000.0,36.0
13.11,695-699,15000.0,15000.0,36.0
9.32,755-759,8250.0,8205.63,36.0
14.09,685-689,6900.0,6900.0,36.0
20.49,685-689,35000.0,35000.0,60.0
10.62,750-754,25000.0,23995.24,36.0
11.14,705-709,9600.0,9600.0,36.0
6.62,755-759,9000.0,8975.0,36.0
8.9,740-744,6500.0,6500.0,36.0
11.14,720-724,1750.0,1750.0,36.0
5.42,750-754,5000.0,5000.0,36.0
15.8,670-674,6000.0,6000.0,36.0
14.09,700-704,25000.0,25000.0,36.0
14.33,690-694,13000.0,13000.0,36.0
7.9,720-724,5875.0,5875.0,36.0
16.29,660-664,5000.0,5000.0,36.0
16.45,680-684,16000.0,7925.0,60.0
9.62,730-734,12000.0,12000.0,60.0
12.12,720-724,35000.0,35000.0,36.0
5.79,735-739,4800.0,4775.0,36.0
11.11,680-684,6500.0,6500.0,36.0
13.06,735-739,25000.0,25000.0,36.0
7.62,785-789,1000.0,1000.0,36.0
13.48,700-704,16000.0,16000.0,36.0
15.13,645-649,7675.0,2275.0,36.0
8.9,720-724,13600.0,13600.0,36.0
15.31,680-684,12000.0,12000.0,36.0
10.37,750-754,15000.0,15000.0,36.0
18.49,675-679,7125.0,7125.0,36.0
21.67,675-679,35000.0,34977.35,60.0
13.11,725-729,11575.0,11575.0,60.0
7.4,780-784,5000.0,5000.0,36.0
7.62,735-739,5000.0,5000.0,36.0
13.24,660-664,5000.0,527.49,36.0
7.9,720-724,7000.0,7000.0,36.0
14.5,715-719,20000.0,16755.89,36.0
6.92,735-739,7000.0,7000.0,36.0
10.25,760-764,20000.0,19900.0,36.0
7.9,725-729,6000.0,6000.0,36.0
7.66,735-739,14000.0,14000.0,36.0
19.05,685-689,30000.0,30000.0,36.0
17.58,660-664,18225.0,18200.0,36.0
7.29,720-724,12000.0,12000.0,36.0
12.12,690-694,10000.0,10000.0,36.0
14.91,675-679,16300.0,16275.0,36.0
13.87,670-674,11000.0,2116.76,36.0
15.58,785-789,25000.0,20850.0,60.0
12.12,670-674,24000.0,24000.0,36.0
7.49,715-719,6000.0,6000.0,36.0
11.49,765-769,10000.0,9975.0,60.0
8.9,730-734,2000.0,2000.0,36.0
11.14,690-694,6625.0,6600.0,36.0
16.71,660-664,20000.0,6350.01,36.0
9.63,745-749,12000.0,11925.0,36.0
7.29,765-769,4200.0,4200.0,36.0
13.11,715-719,6950.0,6875.0,36.0
7.51,765-769,6000.0,6000.0,36.0
10.99,700-704,8400.0,8400.0,36.0
7.88,725-729,5000.0,5000.0,36.0
10.16,695-699,4750.0,4750.0,36.0
10.75,785-789,15000.0,14925.0,60.0
16.29,670-674,12000.0,12000.0,36.0
7.68,790-794,4000.0,0.0,36.0
12.61,725-729,12800.0,12700.0,60.0
8.9,795-799,12000.0,11950.0,60.0
13.49,670-674,9425.0,9425.0,36.0
12.42,730-734,28000.0,28000.0,36.0
21.0,710-714,30000.0,29975.0,60.0
18.39,660-664,9600.0,9600.0,36.0
12.84,695-699,7800.0,7242.07,36.0
10.65,720-724,12000.0,12000.0,36.0
15.31,675-679,9600.0,9600.0,36.0
10.62,705-709,6000.0,6000.0,36.0
11.11,720-724,7500.0,7500.0,60.0
6.03,760-764,7000.0,6950.0,36.0
11.71,685-689,10000.0,10000.0,36.0
12.61,665-669,3200.0,2799.99,36.0
10.38,725-729,13000.0,12850.0,36.0
24.7,660-664,35000.0,35000.0,60.0
6.62,710-714,20800.0,20775.0,36.0
16.29,660-664,1600.0,1600.0,36.0
6.03,750-754,10050.0,9900.0,36.0
17.99,670-674,8000.0,7997.85,36.0
12.12,715-719,16000.0,16000.0,36.0
7.9,720-724,11700.0,11675.0,36.0
12.12,705-709,13475.0,13475.0,36.0
5.42,800-804,14500.0,14500.0,36.0
14.61,665-669,5000.0,5000.0,36.0
6.62,750-754,13600.0,13575.0,36.0
8.9,715-719,2200.0,2200.0,36.0
9.76,705-709,9000.0,9000.0,36.0
22.47,685-689,27925.0,27925.0,60.0
14.33,670-674,9450.0,9450.0,36.0
20.25,665-669,15175.0,15175.0,60.0
7.49,735-739,10000.0,10000.0,36.0
16.29,680-684,16000.0,16000.0,36.0
15.31,680-684,13200.0,13200.0,36.0
18.75,695-699,20000.0,20000.0,60.0
17.77,665-669,8500.0,8500.0,36.0
14.27,670-674,3000.0,3000.0,36.0
15.31,675-679,10000.0,10000.0,36.0
16.29,700-704,14075.0,14075.0,36.0
19.72,680-684,19000.0,19000.0,60.0
12.84,760-764,25000.0,11696.88,36.0
13.11,685-689,9000.0,9000.0,36.0
13.11,685-689,6775.0,6775.0,36.0
15.23,675-679,2200.0,2200.0,36.0
8.0,790-794,10800.0,10550.0,36.0
14.33,675-679,16800.0,16800.0,60.0
15.62,660-664,3500.0,3500.0,36.0
18.79,660-664,9250.0,9250.0,60.0
7.49,740-744,23400.0,23400.0,36.0
7.9,745-749,10375.0,10375.0,36.0
14.09,695-699,9325.0,9300.0,36.0
21.48,665-669,18000.0,18000.0,60.0
8.9,720-724,5375.0,5375.0,36.0
15.8,690-694,3700.0,3700.0,36.0
18.49,675-679,19125.0,19125.0,36.0
15.31,745-749,1625.0,1625.0,36.0
16.77,730-734,26000.0,25975.0,60.0
18.25,680-684,6650.0,6650.0,60.0
11.49,670-674,1000.0,1000.0,36.0
14.42,720-724,18000.0,17896.62,36.0
12.84,680-684,8000.0,7975.0,36.0
15.65,680-684,4575.0,4575.0,36.0
21.97,690-694,35000.0,34950.0,60.0
12.12,695-699,10000.0,10000.0,36.0
18.49,660-664,32350.0,32350.0,36.0
12.98,700-704,16000.0,16000.0,36.0
14.09,690-694,13750.0,13750.0,36.0
11.14,665-669,5600.0,5600.0,36.0
23.76,660-664,21000.0,20950.0,60.0
7.9,730-734,12000.0,12000.0,36.0
13.49,680-684,12000.0,12000.0,36.0
13.99,670-674,3600.0,3600.0,36.0
16.32,705-709,25000.0,15175.0,60.0
9.25,760-764,8400.0,8400.0,60.0
15.8,700-704,24375.0,24300.0,60.0
15.8,675-679,8575.0,8575.0,36.0
12.12,695-699,13800.0,13800.0,36.0
11.49,695-699,17000.0,17000.0,36.0
13.67,675-679,11000.0,11000.0,36.0
14.35,680-684,7800.0,7800.0,36.0
10.59,695-699,3725.0,3725.0,36.0
17.27,665-669,11000.0,11000.0,36.0
15.31,670-674,8500.0,8500.0,36.0
9.76,705-709,10000.0,10000.0,36.0
11.71,725-729,12000.0,12000.0,60.0
12.12,755-759,31500.0,31425.0,60.0
15.31,705-709,19000.0,19000.0,60.0
10.16,695-699,12000.0,12000.0,36.0
10.16,725-729,19125.0,19125.0,36.0
16.07,700-704,6525.0,6500.0,36.0
7.9,725-729,8975.0,8975.0,36.0
6.03,780-784,6000.0,5975.0,36.0
19.22,680-684,20800.0,20800.0,60.0
14.27,680-684,8400.0,8400.0,36.0
18.49,675-679,20000.0,20000.0,36.0
12.12,710-714,18550.0,18550.0,36.0
12.12,685-689,9600.0,9600.0,36.0
6.03,775-779,6000.0,6000.0,36.0
15.31,680-684,14000.0,14000.0,36.0
12.98,705-709,17000.0,16573.33,36.0
10.65,700-704,13250.0,13225.0,36.0
9.76,705-709,13000.0,13000.0,36.0
12.12,700-704,20000.0,20000.0,36.0
15.31,670-674,7000.0,7000.0,36.0
17.27,665-669,12000.0,12000.0,36.0
7.62,735-739,4200.0,4200.0,36.0
11.89,715-719,15000.0,7100.0,36.0
6.54,725-729,1775.0,1775.0,36.0
12.12,695-699,10000.0,10000.0,36.0
12.69,730-734,14400.0,14375.0,60.0
8.49,735-739,16000.0,13150.0,36.0
13.48,680-684,10000.0,9975.0,36.0
5.79,745-749,3000.0,2950.0,36.0
7.9,750-754,20000.0,20000.0,36.0
15.8,685-689,6000.0,6000.0,36.0
13.49,680-684,7050.0,7050.0,36.0
12.12,725-729,11325.0,11325.0,36.0
16.29,670-674,2000.0,2000.0,36.0
12.53,690-694,11000.0,6557.05,36.0
14.33,700-704,10000.0,10000.0,36.0
16.29,665-669,15000.0,15000.0,36.0
18.64,690-694,23000.0,22975.0,60.0
15.31,675-679,10000.0,10000.0,36.0
12.23,705-709,4000.0,4000.0,60.0
10.74,715-719,13000.0,12909.48,36.0
9.33,715-719,5000.0,525.0,36.0
7.51,735-739,6400.0,6400.0,36.0
7.9,745-749,3825.0,3800.0,36.0
17.99,660-664,8000.0,8000.0,36.0
17.27,665-669,8000.0,7975.0,36.0
15.31,660-664,6000.0,6000.0,36.0
8.9,715-719,2500.0,2500.0,36.0
13.11,685-689,10000.0,10000.0,36.0
9.76,730-734,14600.0,14600.0,36.0
21.14,660-664,24000.0,23800.0,60.0
7.9,770-774,2200.0,2200.0,36.0
13.11,680-684,10000.0,10000.0,36.0
9.76,695-699,5000.0,5000.0,36.0
7.51,735-739,12300.0,12300.0,36.0
13.22,690-694,2500.0,2500.0,36.0
12.73,700-704,15000.0,14825.0,36.0
10.74,715-719,1000.0,1000.0,36.0
11.71,700-704,18000.0,17975.0,36.0
15.8,700-704,5000.0,5000.0,36.0
9.99,685-689,6000.0,5956.31,36.0
10.37,705-709,2500.0,2500.0,36.0
10.16,710-714,6000.0,6000.0,36.0
7.75,765-769,7000.0,5525.0,36.0
13.06,680-684,4200.0,4200.0,36.0
14.09,685-689,12500.0,12500.0,36.0
16.32,695-699,15400.0,9458.33,60.0
17.77,710-714,30000.0,30000.0,36.0
16.29,720-724,20700.0,20700.0,60.0
13.11,685-689,7000.0,7000.0,36.0
7.9,755-759,8000.0,8000.0,36.0
20.99,670-674,18000.0,18000.0,60.0
6.62,745-749,12000.0,12000.0,36.0
12.69,670-674,5500.0,5500.0,36.0
10.99,750-754,18000.0,17975.0,60.0
16.29,660-664,5400.0,5400.0,36.0
12.12,730-734,18000.0,18000.0,60.0
10.74,705-709,3000.0,3000.0,36.0
7.62,775-779,21000.0,21000.0,36.0
17.77,725-729,8000.0,8000.0,36.0
7.88,735-739,1750.0,1750.0,36.0
8.0,795-799,7500.0,214.02,36.0
14.65,685-689,9500.0,9500.0,36.0
14.09,705-709,14500.0,14500.0,36.0
19.99,660-664,4800.0,4800.0,36.0
6.99,740-744,3800.0,3800.0,36.0
17.27,710-714,20675.0,20675.0,60.0
19.05,690-694,27050.0,27050.0,60.0
15.33,675-679,8000.0,7850.0,36.0
15.27,660-664,5300.0,5300.0,36.0
7.9,730-734,5000.0,5000.0,36.0
8.9,700-704,15500.0,15500.0,36.0
7.91,720-724,11200.0,11200.0,36.0
23.76,665-669,16000.0,16000.0,60.0
15.8,690-694,21850.0,21850.0,36.0
8.9,705-709,2400.0,2375.0,36.0
5.79,750-754,2700.0,2700.0,36.0
19.42,705-709,30100.0,30100.0,60.0
14.33,720-724,20000.0,20000.0,60.0
6.62,805-809,6000.0,6000.0,36.0
14.65,685-689,2000.0,2000.0,36.0
12.86,670-674,3200.0,766.09,36.0
13.49,740-744,18000.0,17950.0,60.0
15.27,680-684,15000.0,15000.0,36.0
11.99,725-729,5000.0,5000.0,60.0
13.67,700-704,7500.0,7500.0,36.0
17.99,665-669,16000.0,16000.0,36.0
7.9,755-759,20000.0,20000.0,36.0
15.8,665-669,24000.0,24000.0,60.0
15.95,685-689,25000.0,24925.0,36.0
6.03,750-754,3000.0,3000.0,36.0
11.48,735-739,8000.0,7875.0,36.0
10.99,740-744,13000.0,13000.0,60.0
6.03,815-819,8000.0,8000.0,36.0
12.12,695-699,10000.0,10000.0,36.0
12.53,780-784,20000.0,19925.0,36.0
15.31,695-699,21700.0,21700.0,36.0
11.99,680-684,2500.0,2500.0,36.0
14.96,670-674,10000.0,9869.17,36.0
7.9,735-739,17000.0,17000.0,36.0
6.62,765-769,10000.0,10000.0,36.0
18.55,665-669,14100.0,14100.0,36.0
20.49,690-694,26500.0,26500.0,60.0
12.12,710-714,12000.0,12000.0,36.0
13.87,640-644,2200.0,-0.01,36.0
7.62,730-734,7200.0,7200.0,36.0
8.32,740-744,6500.0,1196.59,36.0
17.27,710-714,19750.0,19750.0,60.0
14.91,725-729,21000.0,20975.0,60.0
15.81,665-669,3500.0,3500.0,36.0
7.49,725-729,2650.0,2650.0,36.0
13.11,695-699,15000.0,15000.0,36.0
14.33,695-699,4800.0,4800.0,36.0
17.99,670-674,12000.0,12000.0,36.0
6.62,760-764,6000.0,6000.0,36.0
7.9,790-794,12000.0,12000.0,60.0
12.12,680-684,1550.0,1550.0,36.0
15.31,695-699,35000.0,35000.0,36.0
7.14,730-734,3000.0,3000.0,36.0
10.25,720-724,15000.0,14775.0,36.0
18.49,665-669,14400.0,14400.0,36.0
9.88,755-759,12000.0,12000.0,36.0
19.99,660-664,20000.0,19975.0,36.0
7.66,745-749,11700.0,11650.0,36.0
13.11,660-664,7750.0,7750.0,36.0
19.91,660-664,12000.0,12000.0,60.0
7.14,760-764,6000.0,5750.0,36.0
7.9,720-724,5000.0,5000.0,36.0
16.29,665-669,6000.0,6000.0,36.0
10.36,755-759,25000.0,15925.0,60.0
7.62,810-814,23000.0,23000.0,36.0
13.11,700-704,10000.0,10000.0,36.0
7.88,765-769,4800.0,4800.0,60.0
12.12,705-709,20500.0,20500.0,36.0
18.79,690-694,21000.0,20950.0,60.0
7.9,820-824,7500.0,7500.0,36.0
16.4,675-679,16800.0,16800.0,36.0
11.66,685-689,10000.0,8851.08,36.0
16.49,685-689,12000.0,12000.0,60.0
18.25,705-709,17900.0,17900.0,60.0
17.15,670-674,24000.0,9675.0,36.0
14.33,670-674,9600.0,9600.0,36.0
12.68,700-704,8000.0,8000.0,60.0
13.43,690-694,9000.0,9000.0,36.0
14.65,675-679,10000.0,10000.0,36.0
16.29,665-669,8000.0,8000.0,36.0
16.32,680-684,12000.0,12000.0,60.0
11.14,715-719,20000.0,19950.0,36.0
7.88,710-714,4800.0,4800.0,36.0
19.42,685-689,28000.0,27950.0,60.0
11.14,705-709,10000.0,10000.0,36.0
6.62,730-734,7300.0,7300.0,36.0
7.9,730-734,8450.0,8450.0,36.0
21.98,675-679,20000.0,20000.0,60.0
21.98,665-669,16000.0,16000.0,60.0
17.27,695-699,30000.0,29950.0,36.0
15.23,700-704,12000.0,11530.58,60.0
11.83,810-814,24500.0,24450.0,36.0
13.75,640-644,3000.0,2275.0,36.0
15.31,680-684,8000.0,8000.0,36.0
8.94,775-779,17000.0,16786.31,36.0
11.71,680-684,4200.0,4200.0,36.0
14.27,680-684,1400.0,1400.0,36.0
14.65,670-674,2500.0,2500.0,36.0
15.31,675-679,12000.0,12000.0,36.0
11.71,725-729,2200.0,2200.0,36.0
16.29,660-664,35000.0,35000.0,36.0
14.09,695-699,12000.0,12000.0,36.0
13.99,670-674,9600.0,9575.0,36.0
6.03,815-819,16500.0,16500.0,36.0
11.86,730-734,15000.0,14450.0,60.0
11.49,685-689,1500.0,1500.0,36.0
12.12,705-709,4000.0,4000.0,36.0
10.75,705-709,4325.0,4250.0,36.0
6.91,715-719,3600.0,3575.0,36.0
7.62,730-734,28000.0,28000.0,36.0
13.11,695-699,15000.0,15000.0,36.0
15.31,660-664,5000.0,5000.0,36.0
13.67,710-714,21000.0,21000.0,36.0
17.14,680-684,5000.0,5000.0,60.0
10.16,705-709,14400.0,14400.0,36.0
13.11,680-684,13600.0,13600.0,36.0
7.74,775-779,7500.0,7400.0,36.0
19.05,685-689,18000.0,17975.0,36.0
7.88,755-759,15000.0,10765.99,36.0
12.12,680-684,4800.0,4800.0,36.0
13.11,680-684,10000.0,10000.0,36.0
18.25,720-724,26500.0,26450.0,60.0
11.14,745-749,15800.0,15450.0,36.0
8.9,735-739,20000.0,20000.0,36.0
15.31,685-689,7000.0,7000.0,36.0
7.62,760-764,24000.0,24000.0,36.0
14.65,685-689,12000.0,12000.0,36.0
10.59,685-689,10000.0,550.0,36.0
11.99,725-729,23000.0,22975.0,36.0
17.51,695-699,14000.0,13975.0,60.0
18.75,695-699,18000.0,17975.0,60.0
10.16,705-709,7000.0,7000.0,36.0
7.9,775-779,12700.0,12700.0,60.0
13.98,700-704,12000.0,11975.0,60.0
11.14,690-694,4500.0,4475.0,36.0
7.88,715-719,1000.0,1000.0,36.0
15.81,665-669,1000.0,1000.0,36.0
12.12,685-689,10550.0,10525.0,36.0
14.09,690-694,17825.0,17825.0,36.0
14.09,720-724,10750.0,10750.0,36.0
7.9,740-744,13600.0,13600.0,36.0
22.47,670-674,20000.0,20000.0,60.0
14.33,685-689,10050.0,10050.0,36.0
8.9,740-744,30000.0,30000.0,36.0
17.27,700-704,27575.0,27575.0,36.0
13.11,695-699,14675.0,14625.0,36.0
14.09,675-679,10000.0,10000.0,36.0
7.9,720-724,7275.0,7275.0,36.0
17.27,660-664,4200.0,4200.0,36.0
11.86,730-734,25000.0,24288.45,36.0
19.69,665-669,13500.0,13500.0,60.0
15.31,675-679,2200.0,2200.0,36.0
13.99,700-704,20000.0,20000.0,36.0
13.11,680-684,14000.0,14000.0,36.0
6.62,730-734,12000.0,12000.0,36.0
13.67,710-714,4200.0,4200.0,36.0
11.14,690-694,7100.0,7100.0,36.0
14.65,700-704,15000.0,15000.0,36.0
10.95,750-754,15000.0,9364.4,36.0
14.65,665-669,9000.0,8975.0,36.0
23.83,660-664,23300.0,23275.0,60.0
15.8,690-694,20000.0,20000.0,60.0
13.99,670-674,2000.0,2000.0,36.0
13.98,720-724,25000.0,20737.86,60.0
15.21,695-699,11975.0,11975.0,60.0
15.8,675-679,10000.0,10000.0,36.0
11.48,715-719,9000.0,8800.0,36.0
16.02,710-714,15800.0,15700.0,60.0
13.3,660-664,10000.0,4082.56,36.0
13.24,655-659,3600.0,0.0,36.0
13.11,700-704,10000.0,10000.0,36.0
20.5,675-679,19500.0,19500.0,36.0
7.49,755-759,18000.0,18000.0,36.0
8.88,725-729,22000.0,21950.0,36.0
14.07,670-674,22350.0,486.13,36.0
13.92,700-704,5000.0,5000.0,36.0
7.62,770-774,20000.0,20000.0,36.0
8.9,720-724,7000.0,7000.0,36.0
14.09,750-754,15000.0,15000.0,60.0
10.0,805-809,10000.0,9975.0,60.0
21.49,680-684,25000.0,25000.0,60.0
13.11,700-704,14400.0,14400.0,36.0
10.65,710-714,10000.0,10000.0,36.0
16.29,700-704,19750.0,19750.0,36.0
11.71,695-699,10000.0,10000.0,36.0
13.57,680-684,4550.0,4550.0,36.0
10.83,745-749,7500.0,6392.86,36.0
11.99,715-719,13075.0,13075.0,60.0
7.9,710-714,7000.0,7000.0,36.0
7.49,800-804,3000.0,3000.0,36.0
14.46,685-689,18000.0,17950.0,36.0
16.29,695-699,14675.0,14675.0,36.0
14.09,675-679,10000.0,10000.0,36.0
10.74,725-729,9600.0,9600.0,60.0
13.11,660-664,10000.0,10000.0,36.0
6.91,715-719,1500.0,1500.0,36.0
14.09,680-684,10000.0,10000.0,36.0
13.11,685-689,7000.0,6963.08,36.0
16.82,685-689,4000.0,4000.0,60.0
7.9,710-714,16750.0,16750.0,36.0
12.92,660-664,5600.0,4350.0,36.0
14.33,700-704,11950.0,11950.0,36.0
13.99,715-719,12000.0,12000.0,60.0
7.51,755-759,5000.0,5000.0,36.0
12.12,705-709,3800.0,3800.0,36.0
10.65,700-704,9000.0,9000.0,36.0
9.76,695-699,5000.0,5000.0,36.0
11.86,690-694,7000.0,7000.0,36.0
10.99,725-729,5000.0,5000.0,36.0
11.99,740-744,20000.0,18126.99,60.0
14.35,665-669,2000.0,2000.0,36.0
13.11,695-699,29175.0,29175.0,36.0
11.49,750-754,9000.0,8882.52,60.0
18.55,715-719,27000.0,26975.0,60.0
13.11,720-724,20000.0,20000.0,60.0
10.16,710-714,10000.0,10000.0,36.0
8.49,715-719,10000.0,10000.0,36.0
6.03,755-759,8000.0,7975.0,36.0
7.49,740-744,12000.0,12000.0,36.0
17.27,705-709,35000.0,35000.0,60.0
6.03,780-784,11875.0,11875.0,36.0
15.99,700-704,20000.0,19975.0,60.0
11.78,705-709,18000.0,9516.78,36.0
15.95,665-669,8000.0,7900.0,60.0
6.54,755-759,24000.0,24000.0,36.0
12.12,695-699,11500.0,11475.0,36.0
16.89,675-679,2000.0,2000.0,36.0
16.77,685-689,12800.0,12800.0,60.0
19.91,680-684,10000.0,10000.0,36.0
16.82,660-664,4800.0,4800.0,60.0
18.55,670-674,10000.0,10000.0,36.0
14.33,710-714,25000.0,25000.0,36.0
11.71,705-709,5000.0,5000.0,36.0
7.9,720-724,4800.0,4775.0,36.0
14.33,725-729,16475.0,16475.0,60.0
7.9,725-729,8000.0,8000.0,36.0
10.99,700-704,5000.0,4797.96,36.0
19.72,695-699,28350.0,28350.0,36.0
15.58,700-704,16000.0,15900.0,60.0
17.93,670-674,15000.0,13885.68,60.0
8.9,700-704,6000.0,5975.0,36.0
17.27,680-684,21000.0,21000.0,60.0
7.9,725-729,6000.0,6000.0,36.0
14.33,670-674,10500.0,10500.0,36.0
15.8,680-684,16000.0,16000.0,60.0
10.74,720-724,10000.0,10000.0,36.0
11.58,700-704,5000.0,4975.0,36.0
19.74,700-704,30000.0,29750.38,60.0
14.46,690-694,12000.0,11975.0,60.0
21.97,685-689,35000.0,35000.0,60.0
20.3,690-694,25200.0,24999.92,60.0
13.11,680-684,2000.0,2000.0,36.0
17.77,670-674,12000.0,11975.0,36.0
8.9,715-719,12500.0,12500.0,36.0
6.62,745-749,8000.0,7925.0,36.0
12.12,685-689,5000.0,5000.0,36.0
14.65,680-684,12800.0,12800.0,36.0
7.62,805-809,33000.0,33000.0,36.0
6.99,810-814,15000.0,15000.0,36.0
7.62,725-729,5000.0,5000.0,36.0
14.22,670-674,7000.0,7000.0,36.0
14.09,685-689,13450.0,13450.0,36.0
14.09,740-744,20375.0,20375.0,60.0
15.8,665-669,1200.0,1200.0,36.0
6.03,805-809,16000.0,15975.0,36.0
14.33,675-679,2000.0,2000.0,36.0
13.92,680-684,11200.0,11150.0,36.0
7.62,730-734,28000.0,28000.0,36.0
21.98,680-684,28000.0,27950.0,60.0
15.05,660-664,3000.0,2322.59,36.0
12.12,680-684,7200.0,7200.0,36.0
5.42,775-779,4600.0,4600.0,36.0
6.99,790-794,8000.0,8000.0,36.0
18.49,675-679,20125.0,20125.0,36.0
14.33,740-744,19050.0,19050.0,60.0
18.79,680-684,21850.0,21825.0,60.0
10.38,715-719,5000.0,5000.0,36.0
15.31,670-674,12000.0,12000.0,36.0
6.03,760-764,5800.0,5800.0,36.0
11.71,710-714,10000.0,10000.0,36.0
7.9,705-709,4800.0,4800.0,36.0
10.99,705-709,8000.0,8000.0,36.0
16.29,670-674,9750.0,9750.0,36.0
12.69,705-709,4000.0,4000.0,36.0
10.99,695-699,3000.0,3000.0,36.0
15.8,690-694,16000.0,16000.0,36.0
9.63,750-754,12000.0,11725.0,36.0
11.78,690-694,7500.0,5795.24,36.0
7.9,725-729,9600.0,9600.0,36.0
22.95,670-674,23850.0,23850.0,60.0
14.09,680-684,6250.0,6250.0,36.0
7.88,745-749,16750.0,16359.69,36.0
12.69,730-734,4000.0,4000.0,36.0
19.22,670-674,23500.0,23500.0,36.0
12.87,705-709,3600.0,3575.0,36.0
7.29,725-729,1900.0,1900.0,36.0
7.9,755-759,22500.0,22500.0,36.0
8.49,780-784,12000.0,12000.0,60.0
12.69,730-734,15000.0,15000.0,60.0
17.27,705-709,32000.0,32000.0,36.0
24.2,665-669,24000.0,24000.0,60.0
15.8,670-674,5500.0,5500.0,36.0
7.88,735-739,7300.0,7300.0,36.0
13.11,740-744,25000.0,24975.0,60.0
11.14,690-694,4575.0,4575.0,36.0
14.96,685-689,10000.0,10000.0,36.0
15.96,705-709,20000.0,19950.0,60.0
11.14,715-719,11100.0,11100.0,36.0
10.74,760-764,17000.0,17000.0,60.0
13.67,675-679,12000.0,11975.0,36.0
12.12,715-719,24000.0,24000.0,36.0
